title,thumbnail,score,link
Violet Evergarden (Movie),https://voiranime.com/wp-content/uploads/2021/06/thumb_60d355bce8d36-110x150.jpg,4.3,https://voiranime.com/anime/violet-evergarden-movie/
Mobile Suit Gundam,https://voiranime.com/wp-content/uploads/2021/01/thumb_601175b8a1556-110x150.jpg,3.7,https://voiranime.com/anime/mobile-suit-gundam/
"Tantei wa mou, Shindeiru. (VF)",https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf8bee871-110x150.jpg,4.1,https://voiranime.com/anime/tantei-wa-mou-shindeiru-vf/
Edens Zero,https://voiranime.com/wp-content/uploads/2021/03/thumb_60520cb342b4c-110x150.jpg,4.2,https://voiranime.com/anime/edens-zero/
RE-MAIN,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf891b459-110x150.png,4.1,https://voiranime.com/anime/re-main/
Yuuki Yuuna wa Yuusha de Aru Churutto!,https://voiranime.com/wp-content/uploads/2021/04/thumb_6078204d3ef1a-110x150.jpg,3.9,https://voiranime.com/anime/yuuki-yuuna-wa-yuusha-de-aru-churutto/
D_CIDE TRAUMEREI,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9a758eb-110x150.jpg,4,https://voiranime.com/anime/d_cide-traumerei/
Vanitas no Carte (VF),https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf81b2a3e-110x150.jpg,4.1,https://voiranime.com/anime/vanitas-no-carte-vf/
Nanatsu no Taizai 4 : Fundo no Shinpan (VF),https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfaced8fbb2.jpg,3.9,https://voiranime.com/anime/nanatsu-no-taizai-4-fundo-no-shinpan-vf/
Hetalia World★Stars,https://voiranime.com/wp-content/uploads/2021/03/thumb_6064d1ed24df0-110x150.jpg,4,https://voiranime.com/anime/hetalia-world%e2%98%85stars/
Higurashi no Naku Koro ni (2020) S2,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf990deb1-110x150.jpg,4.2,https://voiranime.com/anime/higurashi-no-naku-koro-ni-sotsu/
Baki (2018) S3,https://voiranime.com/wp-content/uploads/2021/09/thumb_61557e97a0518-110x150.jpg,3.9,https://voiranime.com/anime/baki-2018-s3/
Baki (2018) S3 (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61557e97a0518-110x150.jpg,3.6,https://voiranime.com/anime/baki-2018-s3-vf/
Josee to Tora to Sakanatachi,https://voiranime.com/wp-content/uploads/2021/09/thumb_61545b4977003-110x150.jpg,4.8,https://voiranime.com/anime/josee-to-tora-to-sakanatachi/
Heion Sedai no Idaten-tachi,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf99cfef1-110x150.jpg,4.2,https://voiranime.com/anime/heion-sedai-no-idaten-tachi/
Digimon Adventure:,https://voiranime.com/wp-content/uploads/2020/03/thumb_5e81ff9c1307d-110x150.jpg,3,https://voiranime.com/anime/digimon-adventure/
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf8f85a66-110x150.jpg,4,https://voiranime.com/anime/cheat-kusushi-no-slow-life-isekai-ni-tsukurou-drugstore/
Manual of Hundred Demons,https://voiranime.com/wp-content/uploads/2020/06/thumb_5ed5058bd0de1-110x150.png,3.7,https://voiranime.com/anime/manual-of-hundred-demons/
Legend of Exorcism,https://voiranime.com/wp-content/uploads/2021/08/thumb_6113caba7b91d-110x150.jpg,2.7,https://voiranime.com/anime/legend-of-exorcism/
I’m Joybo : Find Another Me,https://voiranime.com/wp-content/uploads/2021/02/thumb_6031705f1b7b5-110x150.jpg,3.3,https://voiranime.com/anime/im-joybo-find-another-me/
Shaman King (2021) (VF),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520c99928d2-110x150.png,4.1,https://voiranime.com/anime/shaman-king-2021-vf/
One Piece (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e10959f42183-110x150.jpg,3.6,https://voiranime.com/anime/one-piece-vf/
PriPara,https://voiranime.com/wp-content/uploads/2020/06/thumb_5ee0a3d08ba02-110x150.jpg,4,https://voiranime.com/anime/pripara/
No Doubt in Us,https://voiranime.com/wp-content/uploads/2021/05/thumb_6092bd40d7a67-110x150.jpg,3.6,https://voiranime.com/anime/no-doubt-in-us/
Yumeiro Patissiere,https://voiranime.com/wp-content/uploads/2020/06/thumb_5eece0148195a-110x150.jpg,4.2,https://voiranime.com/anime/yumeiro-patissiere/
Mirmo!,https://voiranime.com/wp-content/uploads/2021/04/thumb_607b1a2a565f3-110x150.jpg,3.6,https://voiranime.com/anime/mirmo/
Non Non Biyori: Nonstop,https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfacf3cf8a7.jpg,4.1,https://voiranime.com/anime/non-non-biyori-nonstop/
Idolls!,https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfad04a7b9c.jpg,3.1,https://voiranime.com/anime/idolls/
